Sentence reading task,,,,,,,,,
Sentence,Tap,Trill,Duration Taps,Duration Trils,Occlusions/Cat,PARA,Duration,Occlusions/Cat,NOTE: Taps for this participant seem to be stable at pre-task as well as some intervocalic Trills.
Imagen F,Tocar,,,,,,,,
Imagen F,Mujer,,37,,approximant,,,,
Imagen F,,Guitarra,,30,1,,,,
Imagen F,,Reir,,,,,,,
Imagen F,Reir,,,,,,,,
Imagen G,Dar,,,,,,,,
Imagen G,,Rojo,,,,,,,
Imagen G,,Zorro,,36,1,,,,
Imagen G,Flor,,57,,approximant,,,,
Imagen H,,Rojo,,35,0,,,,
Imagen H,Girar,,,,,,,,
Imagen H,Girar,,,,,,,,
Imagen H,,Carro,,28,1,,,,
Imagen H,,Rápido,,,,,,,
,,,,,,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,
,,,39,33.88888889,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Forced choice,N/A for sp102,,,,,,,,
Preguntas,Tap,Trill,Duration Taps,Duration Trills,Occlusions/Cat,,,,
1,,correr,,,,,,,
1,correr,,,,,,,,
1,caminar,,,,,,,,
2,,restaurantes,,,,,,,
2,restaurantes,,,,,,,,
2,cocinar,,,,,,,,
3,,rojo,,,,,,,
3,,rosado,,,,,,,
4,,ropa,,,,,,,
4,cara,,,,,,,,
4,,ropa,,,,,,,
4,barata,,,,,,,,
5,peras,,,,,,,,
5,moras,,,,,,,,
6,,carro,,,,,,,
6,,carro,,,,,,,
7,,arroz,,,,,,,
7,cereal,,,,,,,,
8,cortar,,,,,,,,
8,cortar,,,,,,,,
8,comprar,,,,,,,,
9,,gorra,,,,,,,
9,,correa,,,,,,,
10,tener,,,,,,,,
10,,rutina,,,,,,,
11,limpiar,,,,,,,,
11,lavar,,,,,,,,
12,,perro,,,,,,,
12,,burro,,,,,,,
