Sentence reading task,,,,,,,,,,,"""para""",,,,"""para""",,,Taps target tokens,,,,,
Sentence,Tap,Trill,Duration tap,Duration ,Occlusions,PARA,Duration,,Occlusions,,Duration,Occlusions,,,Duration,Occlusions,,TRUE n =37 target tokens,,Frication n =3 target tokens,,Approximant n =26 target tokens,
84a,torero,,29,,1 TRUE,,,,,,,,,,,,,,,,,,
84b,torero,,22,,1 TRUE,para,33,,approximant,,,,,,,,,,,,,,
85,(agua),,,,,para,22,,1 TRUE,,,,,,,,,,,,,,
86a,perecer,,24,,approximant,,,,,,,,,,,,,,,,,,
86b,perecer,,24,,1 TRUE,para,N/A,,perceptual,,,,,,,,,,,,,,
87a,colorear,,24,,1 TRUE,,,,,,,,,,,,,,,,,,
87b,colorear,,25,,approximant,para,N/A,,perceptual,,,,,,,,,,,,,,
88,(café),,,,,para,17,,1 TRUE,,,,,,,,,,,,,,
89a,mercurio,,16,,approximant,,,,,,,,,,,,,,,,,,
89b,mercurio,,N/A,,perceptual,para,N/A ,,perceptual,,,,,,,,,,,,,,
90a,arteria,,25,,approximant,,,,,,,,,,,,,,,,,,
90b,arteria,,15,,approximant,para,22,,approximant,,,,,,,,,,,,,,
91,(dibujo),,,,,para,N/A,,perceptual,AUDIO 8,,,,,,,,,,,,,
92a,,radicar,,64,0 + frication (dr),,,,,,,,,,,,,,,,,,
92b,radicar,,36,,1 TRUE,para,N/A,,perceptual,,,,,,,,,,,,,,
93a,,rifar,,87,1 + frication (dr),,,,,,,,,,,,,,,,,,
93b,rifar,,24,,1 TRUE,para,N/A,,perceptual,,,,,,,,,,,,,,
94,(venta),,,,,para,N/A,,perceptual,,,,,,,,,,,,,,
95a,,rodar,,96,1 + frication (dr),,,,,,,,,,,,,,,,,,
95b,rodar,,32,,1 TRUE,para,N/A,,perceptual,,,,,,,,,,,,,,
96a,,romper,,69,0 + frication (dr),,,,,,,,,,,,,,,,,,
96b,romper,,45,,approximant,para,36,,1 TRUE,,,,,,,,,,,,,,
97,(siete),(siete),,,,para,29,,approximant,,,,,,,,,,,,,,
98a,,rumor,,58,2 + frication (dr),,,,,,,,,,,,,,,,,,
98b,rumor,,21,,1 TRUE,para,N/A,,perceptual,,,,,,,,,,,,,,
99a,,raro,,68,1 + frication,,,,,,,,,,,,,,,,,,
99b,raro,,20,,approximant (d) ,para,24,,approximant,,,,,,,,,,,,,,
100,(ocho),(ocho),,,,para,N/A,,perceptual,,,,,,,,,,,,,,
101a,,ropero,,57,1 + frication (dr),,,,,,,,,,,,,,,,,,
101b,ropero,,18,,1 TRUE,para,N/A,,perceptual,,,,,,,,,,,,,,
102a,,ratero,,74,2 + frication (dr),,,,,,,,,,,,,,,,,,
102b,ratero,,31,,approximant,para,N/A,,perceptual,,,,,,,,,,,,,,
103,(mayo),(mayo),,,,para,12,,approximant,,,,,,,,,,,,,,
104a,,carrera ,,61,1 + frication (dr),,,,,,,,,,,,,,,,,,
104b,carrera,,38,,1 TRUE,para,33,,approximant,,,,,,,,,,,,,,
105a,,rapero,,62,0 + frication (dr),,,,,,,,,,,,,,,,,,
105b,rapero,,31,,1 TRUE,para,36,,approximant,Fin AUDIO 8,,,,,,,,,,,,,
106,(semana),(semana),,,,para,N/A,,perceptual,Audio 9,,,,,,,,,,,,,
107a,,barrer,,61,1 + frication (dr),para,N/A,,perceptual,,,,,,,,,,,,,,
107b,barrer,,49,,1 TRUE,,,,,,,,,,,,,,,,,,
108a,,correr,,64,1 + frication,para,N/A,,perceptual,,,,,,,,,,,,,,
108b,correr,,25,,approximant ,,,,,,,,,,,,,,,,,,
109,(antes),(antes),,,,para,N/A,,perceptual,,,,,,,,,,,,,,
110a,,narrar,,58,1 + frication (dr),para,N/A,,perceptual,,,,,,,,,,,,,,
110b,narrar,,53,,1 TRUE,,,,,,,,,,,,,,,,,,
111a,,borrar,,76,1 + frication (dr),para,N/A,,perceptual,,,,,,,,,,,,,,
111b,borrar,,42,,approximant,,,,,,,,,,,,,,,,,,
112,(estoy),(estoy),,,,para,N/A,,perceptual,,,,,,,,,,,,,,
113a,,cerrar ,,65,2 + frication (dr),para,N/A,,perceptual,,,,,,,,,,,,,,
113b,cerrar,,38,,1 TRUE,,,,,,,,,,,,,,,,,,
114a,,derribar,,59,1 + frication (dr),para,N/A,,perceptual,,,,,,,,,,,,,,
114b,derribar,,28,,1 TRUE,,,,,,,,,,,,,,,,,,
115,(común),(común),,,,para,N/A,,perceptual,,,,,,,,,,,,,,
116a,,corregir,,57,1 + frication (dr),para,N/A,,perceptual,,,,,,,,,,,,,,
116b,corregir,,29,,1 TRUE,,,,,,,,,,,,,,,,,,
117a,,irritar,,57,1,para,N/A,,perceptual,,,,,,,,,,,,,,
117b,irritar,,24,,1 TRUE,,,,,,,,,,,,,,,,,,
118,(menos),(menos),,,,para,N/A,,perceptual,,,,,,,,,,,,,,
119a,,interrogar,,62,1 + frication (dr),para,23,,approximant,,,,,,,,,,,,,,
119b,interrogar,,39,,approximant,,,,,,,,,,,,,,,,,,
120a,,corredor,,93,2 + frication (dr),para,N/A,,perceptual,,,,,,,,,,,,,,
120b,corredor,,22,,approximant,,,,,,,,,,,,,,,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,Para x̄ =,,,,,,,,,,,,,,,,
,,,35.32835821,98.40816327,,,36.30769231,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Taps N=67,,,,Trills N=50 occlussions,,,,,,,,,,,,,,,,,
,True ,Approximant,perceptual,frication (dr),,0,1,2,3,,,,,,,,,,,,,,
,n= 37,n= 26,n= 0,n= 3,,,,,,,,,,,,,,,,,,,
,x̄ = 31,x̄ = 31.54,x̄ = N/A,x̄ = 120,,x̄ =,x̄ =,x̄ =,x̄ =,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AUDIO 5,,,,,,,,,,,,,,,,,,,,,,,
Paragraph 1,Tap,Trill,Duration Taps,Duration ,Occlusions,,,,,,,,,,,,,,,,,,
1,,Roberto,,120,0,,,,,,,,,,,,,,,,,,
2,Roberto,,49,,approximant,,,,,,,,,,,,,,,,,,
3,para,,34,,1 TRUE,,,,,,,,,,,,,,,,,,
4,,América,39,,1 TRUE,,,,,,,,,,,,,,,,,,
5,Caribe,,32,,approximant,,,,,,,,,,,,,,,,,,
6,pérdida,,41,,approximant,,,,,,,,,,,,,,,,,,
7,,región,,117,0 + frication (dr),,,,,,,,,,,,,,,,,,
8,,relacionada,,80,0 + frication (dr),,,,,,,,,,,,,,,,,,
9,,rápida,,60,0 + frication (dr),,,,,,,,,,,,,,,,,,
10,,tierras,,60,0 + frication (dr),,,,,,,,,,,,,,,,,,
11,para,,24,,1 tap TRUE,,,,,,,,,,,,,,,,,,
12,pérdida,,75,,approximant,,,,,,,,,,,,,,,,,,
13,,desarrollo,,136,0 + frication (dr),,,,,,,,,,,,,,,,,,
14,infraestructura,,116,,approximant,,,,,,,,,,,,,,,,,,
15,,relacionada,,120,0,,,,,,,,,,,,,,,,,,
16,,carreteras,,136,0 + frication (dr),,,,,,,,,,,,,,,,,,
17,carreteras,,48,,1 tap TRUE,,,,,,,,,,,,,,,,,,
18,para,,29,,1 tap TRUE,,,,,,,,,,,,,,,,,,
19,,carros,,46,2,NOTA: dos oclusiones. Carros es una palabra frecuente. ,,,,,,,,,,,,,,,,,
20,,carrozas,,77,0 + frication (dr),,,,,,,,,,,,,,,,,,
21,,rotundo ,,87,0 + frication (dr),,,,,,,,,,,,,,,,,,
22,productor,,15,,1 tap TRUE,,,,,,,,,,,,,,,,,,
23,materia,,26,,1 tap TRUE,,,,,,,,,,,,,,,,,,
24,,relevante,,113,0 + frication (dr),,,,,,,,,,,,,,,,,,
25,minería,,111,,approximant + frication (dr),,,,,,,,,,,,,,,,,,
26,por,,34,,approximant,,,,,,,,,,,,,,,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,,,,,,,,,,,,,,,
,,,48.07142857,96,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Paragraph 2,Tap,Trill,Duration taps,Duration ,Occlusions,,,,,,,,,,,,,,,,,,
1,norte,,66,,0 approximant,,,,,,,,,,,,,,,,,,
2,acerca,,69,,1 True,,,,,,,,,,,,,,,,,,
3,sería,,26,,1 True,,,,,,,,,,,,,,,,,,
4,fuerte,,50,,1 true,,,,,,,,,,,,,,,,,,
5,,repente,,54,1 + frication (dr),,,,,,,,,,,,,,,,,,
6,viajero,,22,,0 (alveolar /t/ oral stop),,,,,,,,,,,,,,,,,,
7,verlo,,81,,0 approximant,,,,,,,,,,,,,,,,,,
8,convinieron,,37,,1 True,,,,,,,,,,,,,,,,,,
9,primero,,43,,1 True,,,,,,,,,,,,,,,,,,
10,consiguiera,,52,,1 True,,,,,,,,,,,,,,,,,,
11,quitarle,,55,,approximant,,,,,,,,,,,,,,,,,,
12,seria,,23,,1 True,,,,,,,,,,,,,,,,,,
13,fuerte,,36,,approximant,,,,,,,,,,,,,,,,,,
14,norte,,44,,1 True,,,,,,,,,,,,,,,,,,
15,soplar,,57,,approximant,,,,,,,,,,,,,,,,,,
16,furia,,28,,1 True,,,,,,,,,,,,,,,,,,
17,pero,,25,,1 True,,,,,,,,,,,,,,,,,,
18,,aferraba,,33,0 + frication (dr),,,,,,,,,,,,,,,,,,
19,norte,,37,,1 True,,,,,,,,,,,,,,,,,,
20,esplendor ,,48,,1 True,,,,,,,,,,,,,,,,,,
21,,arrojó,,65,2 + frication (dr),,,,,,,,,,,,,,,,,,
22,norte,,31,,approximant,,,,,,,,,,,,,,,,,,
23,,reconocer,77,,1 + frication (dr),,,,,,,,,,,,,,,,,,
24,reconocer,,58,,1 True,,,,,,,,,,,,,,,,,,
25,superioridad (a),,37,,1 True,,,,,,,,,,,,,,,,,,
26,superioridad (b),,39,,approximant,,,,,,,,,,,,,,,,,,
,,,Pre Taps x̄ =,Pre Trills x̄ =,,,,,,,,,,,,,,,,,,,
,,,45.26086957,50.66666667,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Describir imágenes,,,,,,,,,,,,,,,,,,,,,,,
Semi-spontaneous,Tap,Trill,Duration Taps,Duration ,Occlusions,,,,,,,,,,,,,,,,,,
